"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"Jun 30, 2020 @ 17:12:31.000","2020-06-30T17:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,"3.898"
"Jun 30, 2020 @ 17:12:14.000","2020-06-30T17:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 17:11:57.000","2020-06-30T17:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 17:06:25.000","2020-06-30T17:06:25Z","safecast:479911182","Solarcast #30007",479911182,"34.483","136.163",,,,,,,,
"Jun 30, 2020 @ 17:06:10.000","2020-06-30T17:06:10Z","safecast:479911182","Solarcast #30007",479911182,"34.483","136.163","20.623","86.628",0,0,1,41,57,
"Jun 30, 2020 @ 16:58:49.000","2020-06-30T16:58:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 16:58:38.000","2020-06-30T16:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,1,1,1,,,
"Jun 30, 2020 @ 16:58:12.000","2020-06-30T16:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,30,
"Jun 30, 2020 @ 16:56:56.000","2020-06-30T16:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,
"Jun 30, 2020 @ 16:43:12.000","2020-06-30T16:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,30,
"Jun 30, 2020 @ 16:42:31.000","2020-06-30T16:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,,"3.886"
"Jun 30, 2020 @ 16:42:14.000","2020-06-30T16:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 16:41:57.000","2020-06-30T16:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 16:32:15.000","2020-06-30T16:32:15Z","safecast:129232559","Solarcast #30012",129232559,"37.443","-122.128",,,,,,21,26,"3.594"
"Jun 30, 2020 @ 16:28:53.000","2020-06-30T16:28:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 16:28:38.000","2020-06-30T16:28:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,3,3,3,,,
"Jun 30, 2020 @ 16:28:12.000","2020-06-30T16:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,34,30,
"Jun 30, 2020 @ 16:26:56.000","2020-06-30T16:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,,
"Jun 30, 2020 @ 16:13:12.000","2020-06-30T16:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,29,36,
"Jun 30, 2020 @ 16:12:31.000","2020-06-30T16:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,"3.881"
"Jun 30, 2020 @ 16:12:14.000","2020-06-30T16:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 16:11:57.000","2020-06-30T16:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 15:58:50.000","2020-06-30T15:58:50Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 15:58:38.000","2020-06-30T15:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,4,5,5,,,
"Jun 30, 2020 @ 15:58:12.000","2020-06-30T15:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,36,
"Jun 30, 2020 @ 15:56:56.000","2020-06-30T15:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,,
"Jun 30, 2020 @ 15:43:12.000","2020-06-30T15:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,32,
"Jun 30, 2020 @ 15:42:31.000","2020-06-30T15:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,,"3.881"
"Jun 30, 2020 @ 15:42:14.000","2020-06-30T15:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 15:41:57.000","2020-06-30T15:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 15:28:53.000","2020-06-30T15:28:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 15:28:38.000","2020-06-30T15:28:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,4,5,5,,,
"Jun 30, 2020 @ 15:28:13.000","2020-06-30T15:28:13Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,30,35,
"Jun 30, 2020 @ 15:28:12.000","2020-06-30T15:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,30,35,
"Jun 30, 2020 @ 15:26:56.000","2020-06-30T15:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,,
"Jun 30, 2020 @ 15:13:12.000","2020-06-30T15:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,29,
"Jun 30, 2020 @ 15:12:31.000","2020-06-30T15:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,30,,"3.882"
"Jun 30, 2020 @ 15:12:14.000","2020-06-30T15:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 15:11:57.000","2020-06-30T15:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,0,1,1,,,
"Jun 30, 2020 @ 14:59:18.000","2020-06-30T14:59:18Z","safecast:4267748403","Solarcast #30019",4267748403,"34.122","-118.261","21.614","61.025",5,7,8,30,27,
"Jun 30, 2020 @ 14:58:50.000","2020-06-30T14:58:50Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 14:58:38.000","2020-06-30T14:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,1,1,1,,,
"Jun 30, 2020 @ 14:58:12.000","2020-06-30T14:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,27,
"Jun 30, 2020 @ 14:56:56.000","2020-06-30T14:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,
