,when_captured,device_urn,device_sn,device,loc_lat,loc_lon,env_temp,env_humid,pms_pm01_0,pms_pm02_5,pms_pm10_0,lnd_7318c,lnd_7318u,bat_voltage,year,KEY_Dev_WhenCapt
13531,2020-05-01 06:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,33.0,30,3.861,2020,"(678194983, Timestamp('2020-05-01 06:27:54+0000', tz='UTC'))"
13530,2020-05-01 06:29:34+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,27,,2020,"(3714913954, Timestamp('2020-05-01 06:29:34+0000', tz='UTC'))"
13529,2020-05-01 06:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,29.0,30,,2020,"(678194983, Timestamp('2020-05-01 06:42:15+0000', tz='UTC'))"
13528,2020-05-01 06:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,28,,2020,"(3714913954, Timestamp('2020-05-01 06:44:23+0000', tz='UTC'))"
13527,2020-05-01 06:44:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,10.0,16.0,19.0,,,,2020,"(3714913954, Timestamp('2020-05-01 06:44:49+0000', tz='UTC'))"
13526,2020-05-01 06:45:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 06:45:00+0000', tz='UTC'))"
13525,2020-05-01 06:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,2.0,3.0,,,,2020,"(678194983, Timestamp('2020-05-01 06:57:15+0000', tz='UTC'))"
13524,2020-05-01 06:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 06:57:39+0000', tz='UTC'))"
13523,2020-05-01 06:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,28.0,32,3.862,2020,"(678194983, Timestamp('2020-05-01 06:57:54+0000', tz='UTC'))"
13522,2020-05-01 06:58:55+00:00,safecast:3937710776,Solarcast #33002,3937710776,46.31399999999999,-119.345,,,,,,,31,4.185,2020,"(3937710776, Timestamp('2020-05-01 06:58:55+0000', tz='UTC'))"
13521,2020-05-01 06:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,30.0,29,,2020,"(3714913954, Timestamp('2020-05-01 06:59:23+0000', tz='UTC'))"
13520,2020-05-01 07:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,26.0,28,,2020,"(678194983, Timestamp('2020-05-01 07:12:15+0000', tz='UTC'))"
